i_type,incident_with,date,details,riding_on,terrain,direction,turning,age,sex,longitude,latitude,X,Y
Near collision with moving object or vehicle,Other,2017-06-01T08:35:00,the International Stage Lines bus (DL: 4632 DP) passed me then proceeded to follow the road turning right squeezing me within inches between the bus' back wheels and the curb.  I had to brake to a stop to avoid being crushed between the bus and the curb or worst ending up under the bus.,Busy street bike lane,Flat,N,Turning right,,,-123.1365037,49.29462267,490074.7986,5460217.471
Near collision with moving object or vehicle,"Vehicle, head on",2017-05-31T17:35:00,"Rolling across pedestrian/cyclist crosswalk to SE side of Cambie bridge towards 1st Ave. Truck almost failed to stop in time, hitting brakes hard. Driver's right hand was visible off the steering wheel with cell phone clearly in hand, barely looking up in time to hit brakes. ",,Flat,N,,1986,M,-123.1141877,49.26701345,491692.7598,5457145.443
Near collision with stationary object or vehicle,"Vehicle, rear end",2016-09-15T16:00:00,Access is controlled (only southbound autos allowed to access road + bikes from all directions). Drivers often do not obey restriction. Close calls at this location on 3+ days. Drivers aggressive when asked not to break law at this location. Drivers drive threateningly (attempt to run bike off road),Quiet street bike lane,Flat,E,Heading straight,,,-123.1000042,49.26365289,492724.1271,5456770.386
Near collision with moving object or vehicle,"Vehicle, side",2017-06-10T16:10:00,Eastbound driver passed me extremely closely as another vehicle was coming westbound. About 15-20cm from my elbow.,"Quiet street, no bike facilities",Downhill,E,Heading straight,1975,F,-123.102663,49.25840866,492529.8914,5456187.643
Near collision with moving object or vehicle,"Vehicle, side",2017-06-12T07:30:00,"A truck over took me but then driver had to come back to the lane because there was a car coming in from the opposite line; the rear of the trailer almost hit me. This was a judgment error from the driver, he should had waited for the other car to pass, also he was going to turn right 50m ahead!","Busy street, no bike facilities",Flat,E,Heading straight,,,-123.111248,49.20694388,491896.8044,5450467.201
Near collision with moving object or vehicle,"Vehicle, head on",2017-06-21T19:30:00,"Crossing the shared crosswalk, heading north to cross the Cambie Bridge. Had right of way and green light for at least a full second when car heading east sped through fully red light and almost hit a cyclist in the shared crosswalk. Accident averted by bystander screaming at cyclist to stop.",Busy street bike lane,Flat,N,Heading straight,1987,F,-123.1146169,49.26670191,491661.4861,5457110.856
Near collision with moving object or vehicle,"Vehicle, side",2017-06-15T07:45:00,SUV creeped into bike lane along the causeway's Lost Lagoon curve. Unfortunately this is a very common occurrence and I experience it a couple times a week on my morning commute.,,,,,,,-123.13637,49.29655801,490084.9107,5460432.606
Near collision with moving object or vehicle,"Vehicle, side",2017-06-29T15:35:00,"Eastbound Driver passed me extremely closely from behind, with only about 20-30cm space.","Quiet street, no bike facilities",Flat,E,Heading straight,1975,F,-123.1039819,49.25842168,492433.9261,5456189.221
Near collision with moving object or vehicle,"Vehicle, side",2017-06-30T12:45:00,"I was riding straight through the two way stop intersection. A driver who was waiting at the south stop sign on  Manitoba turned left to go westbound on 18th before I got through the intersection. She saw me & made eye contact, then turned left suddenly very close to me.","Quiet street, no bike facilities",Flat,E,Heading straight,1975,F,-123.1071848,49.25469185,492200.2822,5455774.901
Near collision with moving object or vehicle,"Vehicle, side",2017-06-30T12:45:00,"I was riding straight through the two way stop intersection. A driver who was waiting at the south stop sign on  Manitoba turned left to go westbound on 18th before I got through the intersection. She saw me & made eye contact, then turned left suddenly very close to me.","Quiet street, no bike facilities",Flat,E,Heading straight,1975,F,-123.1071848,49.25469185,492200.2822,5455774.901
Near collision with moving object or vehicle,"Vehicle, side",2017-07-04T16:50:00,"Car heading westbound tried making a left hand turn in front of me assuming they had enough time. Had to brake really hard and swerve to avoid being hit. Driver waived at me. 10th ave does not have enough room for parking, cars both ways and cyclist both ways. ",Quiet street bike lane,Flat,E,Heading straight,1986,M,-123.106758,49.26218607,492232.5195,5456607.991
Near collision with moving object or vehicle,"Vehicle, rear end",2017-07-07T18:40:00,I was cycling in the right lane passing two young female cyclists who were cycling in the left lane. A white late 80s/early 90s Dodge pickup truck with license plate LK 6880 tried to pass us by trying to drive through both lanes between us. When he couldn't he revved his engine and tried to hit me.,Quiet street bike lane,Flat,NW,Heading straight,1977,F,-123.1318045,49.3042234,490418.3416,5461284.186
Near collision with moving object or vehicle,"Vehicle, side",2017-07-25T08:45:00,Car turning right from Dunsmuir onto Burrard moved into and blocked bike lane while waiting to turn right. Was forced to brake suddenly and move into traffic lane in order to avoid side collision with the vehicle. ,Busy street bike lane,Downhill,W,Heading straight,1980,F,-123.1193107,49.28554495,491323.3077,5459206.177
Near collision with moving object or vehicle,"Vehicle, side",2017-07-28T18:00:00,"Driver looking left, but indicating right-hand turn and creeping forward into bike lane. I believe the driver expected any bike traffic to be coming from the left, and did not realize that this bike runs in both directions. Almost ran into a cyclist when she started to creep forward faster. ",,,,,1976,F,-123.1156468,49.26605431,491586.4446,5457038.977
Near collision with moving object or vehicle,"Vehicle, side",2017-07-31T13:30:00,Close pass at high speed (driver then bottomed out car of speed hump).,"Quiet street, no bike facilities",Flat,S,Heading straight,1975,F,-123.058953,49.23052588,495707.9649,5453084.515
Near collision with moving object or vehicle,"Vehicle, side",2017-08-03T08:50:00,"Car turning right from Dunsmuir onto Burrard cut into and blocked bike lane while turing right. Driver did not look for cyclists and I almost collided with the vehicle. This happens frequently at this corner, at least 1-2 times per week on my daily commute. Very dangerous corner.",Busy street bike lane,Downhill,W,Heading straight,,,-123.1192276,49.28548022,491329.3432,5459198.97
Near collision with moving object or vehicle,"Vehicle, side",2017-08-02T15:10:00,Heading north on the Ontario bikeway at 33rd. Light turned green for cycling traffic across 33rd. Drive failed to stop red light. Slowed in the middle of intersection and passing behind me through the remainder of the intersection.,Quiet street bike lane,Flat,N,Heading straight,1968,M,-123.1048456,49.24886368,492369.6094,5455126.744
Near collision with moving object or vehicle,Pedestrian,2017-08-07T03:15:00,"I was the person walking on the ""no bikes allowed"" walkway.When I pointed out the two bikers were not allowed to be on their bikes I was met with a very loud ""We can do whatever we want! F*** YOU!""This is why bike riders need to be licensed & insured and that more police on bikes need to exist.",,,,,,,-123.1445745,49.29107506,489487.2179,5459824.171
Near collision with moving object or vehicle,"Vehicle, side",2017-08-18T10:00:00,There was some construction that narrowed the roadway with orange delineators and caution tape. I was riding centre-right of the single lane and a taxi sped around me with inches to spare. ,"Busy street, no bike facilities",Flat,S,Heading straight,1990,M,-123.2474613,49.26850463,481997.5566,5457334.414
Near collision with moving object or vehicle,"Vehicle, side",2017-08-30T08:45:00,I was proceeding West towards UBC in the W16th Ave bike lane. A car turning from Blanca onto W 16th Ave using the slip lane did not follow the Yield sign and I had to take evasive measures to not get hit.  Common occurance here.,Busy street bike lane,Flat,W,Heading straight,1982,M,-123.2161519,49.25849958,484272.0896,5456215.164
Near collision with moving object or vehicle,"Vehicle, angle",2017-07-12T13:00:00,"Cars coming out of the mall don't seem to see bikes on 45th. One problem is that the exit is at a 45 degrees, to prevent cars from turning west on 45th.  This makes it more difficult for drivers to see riders it seems. The bike path lines and green paint in that intersection is also worn out.",Quiet street bike lane,Flat,W,Heading straight,1979,M,-123.1173366,49.22990503,491457.2741,5453020.45
Near collision with moving object or vehicle,"Vehicle, angle",2017-09-06T16:55:00,"I was proceeding straight along Thunderbird Blvd in the bike lane approaching intersection with Wesbrook Mall.  There is a right turn lane to the right of the bike lane available, however a driver drive in the straight through lane to the left of the bike lane, and turned right across my path.  ",Busy street bike lane,Flat,E,Heading straight,1982,M,-123.2416087,49.26155767,482420.855,5456560.741
Near collision with moving object or vehicle,"Vehicle, side",2017-09-11T06:25:00,"Heading straight through intersection at Hornby and W Hastings. There is a separate right turn light for cars, which was red when the bike crossing green come on.  Car, stopped, looked, and proceeded to turn right on red. I had to slam and skid to avoid hitting the car. Car saw me and stilproceeded.",Busy street cycle track,Flat,N,Heading straight,1981,M,-123.1158239,49.2865422,491577.055,5459316.647
Near collision with moving object or vehicle,"Vehicle, head on",2017-09-14T10:30:00,A car nearly ran a stale red light - it stopped with all four wheels in the intersection. Caught me off-guard!,Quiet street bike lane,Flat,W,Heading straight,1982,M,-123.0891842,49.26160143,493511.0767,5456541.339
Near collision with moving object or vehicle,"Vehicle, side",2017-09-14T11:00:00,A vehicle travelling west on Pender nearly collided with me as I was going south on Boundary Rd.,"Busy street, no bike facilities",Downhill,S,Heading straight,1987,M,-123.0235827,49.28019621,498284.7985,5458604.97
Near collision with moving object or vehicle,"Vehicle, side",2017-09-15T15:05:00,"Riding west, approaching the intersection. Campbell Avenue has stop signs. The driver of a large delivery truck was approaching Union Street. Looking at smart phone, drove straight through the stop sign at high speed without slowing. He glanced up going through intersection but not to the sides.",Quiet street bike lane,Flat,W,Heading straight,1962,M,-123.0848926,49.27739825,493825.2949,5458297.12
Near collision with moving object or vehicle,"Vehicle, head on",2017-09-22T09:30:00,3 cars and a semi went through a stale red light this morning.,Quiet street bike lane,Uphill,W,Heading straight,1982,M,-123.0762908,49.24465264,494447.2813,5454656.113
Near collision with moving object or vehicle,"Vehicle, side",2017-09-22T14:45:00,"Vehicle passed me with little margin, perhaps 50 cm. This was an aggressive action by a motorist for no known reason. Perhaps felt I should be closer to parked cars? He gave me the finger out his window after he passed me.","Quiet street, no bike facilities",Flat,W,Heading straight,1987,M,-123.0476689,49.27744025,496532.7807,5458299.414
Near collision with moving object or vehicle,"Vehicle, side",2017-09-25T18:30:00,"Vehicle trying to cross union st didn't look before crossing.This is a very dangerous location as this happens very frequently in both directions",Quiet street bike lane,Downhill,E,Heading straight,1979,M,-123.0848624,49.27744242,493827.4977,5458302.028
Near collision with moving object or vehicle,"Vehicle, side",2017-09-26T11:15:00,Van did not look before trying to cross union. Braked and swerved out of the way. Very busy intersection right near the bottom of a hill in both directions. Vehicles frequently do not look or do not even stop.,Quiet street bike lane,Downhill,W,Heading straight,1979,M,-123.0848795,49.27737065,493826.2458,5458294.05
Near collision with moving object or vehicle,"Vehicle, side",2017-09-13T07:15:00,"Turning left at this intersection on the roundabout. I indicated with a hand signal that I was turning left. A garbage truck flew through the roundabout, did not look where he was going and I had to break hard to avoid getting hit. ",Quiet street bike lane,Flat,W,Turning left,1994,F,-123.1646132,49.26499014,488023.7771,5456927.277
Near collision with moving object or vehicle,"Vehicle, side",2017-09-20T17:30:00,"Ironically I find the hospital one of the most dangerous places to ride. This occurred because people do not know how to use a 4-way stop when there is a cyclist attempting to cross. Cars get confused, hesitate, then they cyclist decides to go at the same time as the car. Happens all the time here. ","Busy street, no bike facilities",Flat,E,Heading straight,1994,F,-123.119933,49.26236811,491273.9666,5456629.666
Near collision with moving object or vehicle,"Vehicle, side",2017-09-27T07:30:00,Driver flew down the intersection and through the roundabout without looking through the intersection. ,"Busy street, no bike facilities",Uphill,W,Heading straight,1994,F,-123.1877714,49.26528944,486339.0164,5456964.478
Near collision with moving object or vehicle,"Vehicle, side",2017-10-02T17:20:00,SUV nearly hit me with their mirror while speeding to a stop sign. ,Quiet street bike lane,Uphill,S,Heading straight,1983,F,-123.1199384,49.2627742,491273.6479,5456674.812
Near collision with moving object or vehicle,"Vehicle, side",2017-10-03T17:55:00,"I was biking west on Broadway and taking the lane since there is no shoulder. A driver in a van in another lane changed lanes at an angle right toward me and almost hit me.It appeared to be intentional to scare me since they did not turn right, there was no one in the other lane in front of them.","Busy street, no bike facilities",Flat,W,Heading straight,1961,M,-123.0520865,49.26203203,496210.2848,5456586.687
Near collision with moving object or vehicle,"Vehicle, side",2017-10-02T08:25:00,"Parked car started driving and turned left without blini g or shoulder check, I was just biking by and got almost hit by that unexpected swerve",Quiet street bike lane,Flat,W,Heading straight,1984,F,-123.113898,49.24513417,491710.1708,5454713.088
Near collision with moving object or vehicle,"Vehicle, side",2017-10-03T08:40:00,"Busy with school drop off, car parked suddenly swerved left without blinking",Quiet street bike lane,Flat,W,Heading straight,1984,F,-123.1397009,49.24742094,489832.6346,5454970.457
Near collision with moving object or vehicle,"Vehicle, head on",2017-10-03T08:40:00,"Car came very fast the hill on this bike line, I was because of parked cars on both sides and steep hill in the almost in middle of road",Quiet street bike lane,Uphill,W,Heading straight,1984,F,-123.1591415,49.24561745,488417.3318,5454772.759
Near collision with moving object or vehicle,"Vehicle, head on",2017-10-10T06:30:00,"I stopped at the four way stop, heading S on Bute. I started riding S through the intersection. The next car heading E began to accelerate through the intersection and directly towards me, as I was now almost in the centre of the intersection he almost hit me. I screamed and he stopped in time.","Busy street, no bike facilities",Flat,S,Heading straight,1987,F,-123.1301951,49.28391432,490531.4439,5459026.205
Near collision with moving object or vehicle,"Vehicle, side",2017-10-17T08:00:00,South bound vehicle didn't look for vehicles already in the traffic circle. I was travelling westbound and would have been directly in front of it had I not jammed on my brakes. Driver was startled when I yelled at him.,Quiet street bike lane,Uphill,W,Heading straight,1974,M,-123.1877795,49.26525968,486338.4227,5456961.171
Near collision with moving object or vehicle,"Vehicle, head on",2017-10-16T10:00:00,"I was going straight along heather across 12th with a green light. The driver of an oncoming car turned left across my path, and I had to brake hard to avoid. The driver did not signal the turn, but he flashed his high beams at me as he was turning.",Quiet street bike lane,Downhill,N,Heading straight,1982,M,-123.1199652,49.26042513,491271.2821,5456413.668
Near collision with moving object or vehicle,"Vehicle, head on",2017-10-19T17:00:00,"There was a green light for cyclists to cross the Clark intersection along 10th avenue, and luckily I paused at the median because there was a pickup truck that went through their red light at 10th ave, travelling approximately 60km/hr.  Would have gotten hit if I didn't stop at the median.",Busy street bike lane,Flat,E,Heading straight,1992,F,-123.0775809,49.26146139,494355.297,5456524.841
Collision with moving object or vehicle,"Vehicle, angle",2017-10-25T17:45:00,Riding on the Beaty St bike lane towards the Cambie bridge and crossing Robson St. with a plain green light. A car from the opposite direction turned left onto Robson St and we both had to break to avoid collision. We stopped a meter appart. Cars parked at north corner of the intersection hide bikes,Cycle track,Flat,SW,Heading straight,1983,M,-123.1139946,49.27762573,491708.5881,5458325.194
Near collision with moving object or vehicle,"Vehicle, angle",2017-11-06T08:35:00,"My 6yo, riding on the sidewalk, was narrowly missed as he entered the crosswalk by a car turning right at speed. He would have been hit except a pedestrian grabbed him and physically pulled him back.",Sidewalk,Flat,W,Heading straight,1977,M,-123.1010932,49.25848557,492644.1299,5456196.039
Near collision with moving object or vehicle,"Vehicle, side",2017-11-07T09:20:00,Car blew through stop sign heading south. There was no stop sign for me. I travel this route daily and find this is a regular occurence. This intersection is not safe for travelli g along 14th as drivers do not appear to look for/see cyclists.,"Busy street, no bike facilities",Flat,W,Heading straight,1970,M,-123.1242696,49.25871729,490957.777,5456224.313
Near collision with moving object or vehicle,"Vehicle, side",2017-10-17T09:15:00,"As I signaled and positioned myself to turn left into the LEB school parking lot, an Evo carshare driver was attempting to pass me and another cyclist between the two speed humps in front of the school accelerating at a high rate of speed and then wove between us, nearly rearending me and my kids.","Quiet street, no bike facilities",Flat,W,Turning left,1970,M,-123.128736,49.25876741,490632.7997,5456230.429
Near collision with moving object or vehicle,"Vehicle, side",2017-11-09T08:55:00,Northbound driver on Laurel failed to stop at the stop sign. I had right of way (2 way stop) & had to ring my bel & shout for him to stop.,"Quiet street, no bike facilities",Flat,W,Heading straight,,,-123.1243784,49.25870111,490949.8578,5456222.527
Near collision with moving object or vehicle,"Vehicle, angle",2017-10-17T07:40:00,"Northbound on Main, just crossed 12th when a van sped up on my left side, swerved in front of me, and slammed on their brakes to take a quick right turn into the gas station parking lot (rather than wait behind me). I slammed on my brakes, skidded, my front wheel bumped the side/back of the van.","Busy street, no bike facilities",Flat,N,Heading straight,1989,F,-123.101061,49.2603236,492646.745,5456400.37
Near collision with moving object or vehicle,"Vehicle, side",2017-11-07T08:45:00,The vehicle on Alexander street tried to nudge into the lane as I was riding down Powell onto Water Street westward.,"Busy street, no bike facilities",Flat,W,Heading straight,1976,M,-123.1040195,49.28339293,492435.013,5458965.291
Near collision with moving object or vehicle,"Vehicle, side",2017-07-18T14:45:00,"Driver crossing 14th at Watson just drove across 14th like I wasn`t there in the roadway. Not the first time this has happened. I had to brake suddenly for crash avoidance. Could have turned out badly,","Busy street, no bike facilities",Flat,W,Heading straight,1970,M,-123.1004843,49.25845581,492688.4283,5456192.672
Near collision with moving object or vehicle,"Vehicle, side",2017-11-21T08:55:00,"As I was approaching the intersection I could see a driver at each stop sign, one northbound, one southbound. I rang my (loud brass) bell before I entered the intersection. The northbound driver didn't seem to notice me at all & drove straight through right in front of me, forcing me to brake.","Quiet street, no bike facilities",Flat,W,Heading straight,1975,F,-123.1243692,49.2587048,490950.5304,5456222.937
Near collision with moving object or vehicle,"Vehicle, side",2017-11-21T09:05:00,Eastbound Driver passed me extremely closely.,"Quiet street, no bike facilities",Flat,E,Heading straight,1975,F,-123.1036257,49.25466001,492459.2739,5455771.001
Near collision with moving object or vehicle,"Vehicle, side",2017-11-22T09:10:00,Eastbound driver insisted on passing me with 20-30cm to spare in the narrowest part of the 14th Ave car canyon. Then he had to stop at the traffic circle anyway. Saved himself at least five seconds by endangering my life!,"Quiet street, no bike facilities",Uphill,E,Heading straight,1975,F,-123.1060844,49.25847283,492280.953,5456195.12
Near collision with moving object or vehicle,"Vehicle, side",2017-11-24T07:20:00,"WB vehicle went around diverter on 7th (against the signs as well) and came up along side between me and the curb to pass on my inside. Bikes are on the ""wrong"" side of the road here due to the configuration of the outlet on the east side of the intersection.",Quiet street bike lane,Uphill,W,Heading straight,1974,M,-123.1456876,49.26555023,489400.8089,5456986.716
Near collision with moving object or vehicle,"Vehicle, side",2017-11-27T08:50:00,"Southbound driver on Laurel nearly drove into me at the two way stop. She had slowed or possibly stopped at the sign, then continue through the intersection without actually looking u til I was very close, when she finally stopped.","Quiet street, no bike facilities",Flat,W,Heading straight,1975,F,-123.1244134,49.2586895,490947.3105,5456221.241
Near collision with moving object or vehicle,"Vehicle, side",2017-11-27T15:40:00,Northbound driver didn't stop at the stop sign until I was in the intersection in front of him.,"Quiet street, no bike facilities",Flat,E,Heading straight,1975,F,-123.124389,49.25869795,490949.0904,5456222.178
Near collision with moving object or vehicle,"Vehicle, side",2017-11-27T15:40:00,Northbound driver didn't stop at the stop sign until I was in the intersection in front of him.,"Quiet street, no bike facilities",Flat,E,Heading straight,1975,F,-123.124389,49.25869795,490949.0904,5456222.178
Near collision with moving object or vehicle,"Vehicle, side",2017-11-28T15:15:00,Southbound driver on Spruce completely failed to stop at the (2-way) stop sign & yield to me. This forced me to hit my brakes as I was going through the intersection to avoid him.,"Quiet street, no bike facilities",Flat,E,Heading straight,1975,F,-123.1291211,49.25873289,490604.7769,5456226.639
Near collision with moving object or vehicle,"Vehicle, side",2017-12-05T08:55:00,"Westbound Driver decided to pass me, squeezing in between me & an oncoming vehicle. The driver's side mirrors were about 20cm from my handlebars.","Quiet street, no bike facilities",Flat,W,Heading straight,1975,F,-123.1159097,49.2587534,491566.0771,5456227.362
Near collision with moving object or vehicle,"Vehicle, head on",2017-11-30T18:45:00,"I witnessed this.  A cyclist coming down the hill from first was nearly hit by the driver of a car turning left onto Woodland with a stop sign. It was dark, but the cyclist had good lights and a bright red reflective jacket.",Quiet street bike lane,Downhill,S,Heading straight,1982,M,-123.0735415,49.26871465,494649.984,5457330.894
Near collision with moving object or vehicle,"Vehicle, angle",2017-12-06T17:45:00,"Car travelling N on Lakewood failed to stop at Stop sign (2-way Stop) and nearly hit 2 cyclists approaching the intersection along the bike way (who have right of way).  Both cyclists had good front lights, I was approx 50M away and saw both clearly before the incident.",Quiet street bike lane,Flat,NW,Heading straight,1970,M,-123.0619785,49.26069645,495490.4414,5456438.753
Near collision with moving object or vehicle,"Vehicle, side",2018-01-08T19:00:00,"A car ran the red light going really, really, really excessively fast while I was crossing the intersection.",Quiet street bike lane,Downhill,E,Heading straight,1982,M,-123.0762291,49.24465789,494451.772,5454656.693
Near collision with moving object or vehicle,"Vehicle, side",2018-01-18T15:35:00,"As I was entering the intersection, the southbound driver proceeded through the two way stop (I had right of way) without even  looking my direction, despite me ringing my loud bell & shouting. I had to hit my brakes to avoid her.","Quiet street, no bike facilities",Flat,E,Heading straight,1975,F,-123.1290744,49.25874879,490608.1773,5456228.402
Near collision with moving object or vehicle,"Vehicle, side",2018-01-23T21:00:00,"I met a Mercedes at the intersection (with a stop sign), we looked at each other, and they went across Heather right at me (sort of a chicane left, then right, they didn't use a signal either)! I had to brake hard to avoid and they braked too.",Quiet street bike lane,Flat,S,Heading straight,,,-123.1199759,49.25882867,491270.2199,5456236.191
Near collision with moving object or vehicle,"Vehicle, side",2018-01-31T14:55:00,Westbound City of Vancouver vehicle passed me extremely closely on the 14th Ave Bikeway. Maybe 30cm between the car & my elbow?,"Quiet street, no bike facilities",Uphill,W,Heading straight,1975,F,-123.1105211,49.25677084,491957.8479,5456006.373
Near collision with moving object or vehicle,"Vehicle, side",2018-02-07T18:40:00,IÕm heading east with a green  light. A driver on Prince Edward going north turned right onto Broadway almost hitting me. He could see me but decided I was less important than his turn.,"Busy street, no bike facilities",Flat,E,Heading straight,1965,F,-123.0959272,49.2625624,493020.5951,5456648.772
Near collision with moving object or vehicle,"Vehicle, head on",2018-02-08T10:15:00,"I was in a traffic calming circle, and the driver of a sedan that entered it after me from the right made no indication of stopping.  I braked hard, and the squeak got the drivers attention, who was looking the other way and was resting her head in her hand. She said sorry through the open window.",Quiet street bike lane,Flat,N,Heading straight,1982,M,-123.1199706,49.25957089,491270.7411,5456318.703
Near collision with moving object or vehicle,"Vehicle, side",2017-10-10T08:30:00,"Two parked cars permitted between Robson Street and the entrance to a parking lot where cars need to turn into across the bike lane.  On this am, there was a third car parked in a zone where parking is not permitted- which completely obscured visibility.  A car turned right and I nearly hit it.",Busy street bike lane,Flat,N,Heading straight,1977,F,-123.1182903,49.27988867,491396.5302,5458577.247
Near collision with moving object or vehicle,"Vehicle, side",2018-02-15T08:50:00,Driver on North side of 14th Ave pulled out of parking space in front of me. I was going quite fast from the downhill & had to swerve to avoid hitting them. They didn't stop & later passed another cyclist extremely closely two blocks farther down the street.,"Quiet street, no bike facilities",Flat,W,Heading straight,1975,F,-123.1072389,49.2585366,492196.9543,5456202.329
Near collision with moving object or vehicle,"Vehicle, side",2018-02-15T08:55:00,Northbound driver on Cambie ran the red light as I was starting into the intersection. I had to brake & swerve to avoid hitting him.,"Quiet street, no bike facilities",Flat,W,Heading straight,,,-123.1149569,49.25874039,491635.4007,5456225.81
Near collision with moving object or vehicle,"Vehicle, side",2018-02-21T14:50:00,Driver passed me extremely closely squeezing in between me & oncoming traffic. About 30cm between me & his van. Then he pulled over & yelled obscenities at me after passing me closely.,"Quiet street, no bike facilities",Uphill,W,Heading straight,,,-123.1014767,49.25839279,492616.2073,5456185.763
Near collision with moving object or vehicle,"Vehicle, side",2018-02-21T14:50:00,Southbound driver didn't see me until they nearly hit me in the traffic circle as I was most of the way through the intersection.,"Quiet street, no bike facilities",Flat,W,Heading straight,1975,F,-123.1051023,49.25853037,492352.4229,5456201.417
Near collision with moving object or vehicle,"Vehicle, side",2018-02-21T08:15:00,"I was biking up Smithe in a SHARED car/bike lane (there is a clear sign indicating this) and biking up the right-most lane when a minivan squeezed itself past me on the left, missing me by only an inch or so. He sped by me at high speed even though this was a construction zone.","Busy street, no bike facilities",Uphill,NW,Heading straight,,F,-123.117916,49.2780387,491423.437,5458371.542
Near collision with moving object or vehicle,"Vehicle, angle",2018-03-01T08:15:00,"Driver decided to turn right onto Granville St. last minute with no turn signal, even though right turns are restricted. I had to jam on my breaks in order to avoid side swiping them as I was heading fast down the hill.",Busy street cycle track,Downhill,NW,Heading straight,,,-123.1164166,49.28362038,491533.4475,5458991.892
Near collision with moving object or vehicle,"Vehicle, side",2018-02-05T09:30:00,"Vehicles turning right onto Drake often don't shoulder check on their right hand side, and I've come close to being hit several times despite being in a clearly marked separated bike lane.",Busy street cycle track,Uphill,N,Heading straight,1982,F,-123.1298518,49.27733875,490555.1567,5458295.152
Near collision with moving object or vehicle,"Vehicle, side",2018-02-21T09:30:00,"I was almost hit by a car turning right on a red light. Cyclist have the green light (little bike symbol), and cars are not allowed to turn right on a red light.  This has happened to me on the Hornby bike lane on four separate occasions. I now avoiding cycling on the Hornby bike lane.",Busy street cycle track,Flat,N,Heading straight,1982,F,-123.1158614,49.28653521,491574.323,5459315.873
Near collision with moving object or vehicle,"Vehicle, side",2018-02-28T18:00:00,Cars turning right onto Hornby going North from Helmeken often turn right on a red light while the green bike signal light giving right of way to cyclists despite that they are not allowed to be turning right on a red. I've seen several people and myself almost get hit here.,Busy street cycle track,Flat,S,Heading straight,1982,F,-123.1264991,49.27948055,490799.42,5458532.843
